"","Speaker","Listener","Lines","Narrative_lower","Narrative_noNumbers","Narrative_noStopWords","Narrative_noPunctuation","Narrative_noTypos","Narrative_noSpaces","Narrative_Lemma"
"114","DUMBLEDORE","STUDENTS","So Hogwarts has been choosen to host a legendary event. The Tri-Wizard tournament. Now for those of you who do not know, the tri-wizard tournament brings together three schools for a series of magical contests. From each school a single contestant is selected to compete. Now let me be clear, if choosen you stand alone. And trust me when I say these contests are not for the faint hearted, but more of that later. For now please join me in welcoming the lovely ladies of the Beauxbatons Academy of magic and their headmistress Madam Maxime.  ","so hogwarts has been choosen to host a legendary event. the tri-wizard tournament. now for those of you who do not know, the tri-wizard tournament brings together three schools for a series of magical contests. from each school a single contestant is selected to compete. now let me be clear, if choosen you stand alone. and trust me when i say these contests are not for the faint hearted, but more of that later. for now please join me in welcoming the lovely ladies of the beauxbatons academy of magic and their headmistress madam maxime.  ","so hogwarts has been choosen to host a legendary event. the tri-wizard tournament. now for those of you who do not know, the tri-wizard tournament brings together three schools for a series of magical contests. from each school a single contestant is selected to compete. now let me be clear, if choosen you stand alone. and trust me when i say these contests are not for the faint hearted, but more of that later. for now please join me in welcoming the lovely ladies of the beauxbatons academy of magic and their headmistress madam maxime.  "," hogwarts   choosen  host  legendary event.  tr-wizard tournament. now        know,  tr-wizard tournament brings together three schools   series  magical contests.   school  single contestant  selected  compete. now let   clear,  choosen  stand alone.  trust    say  contests     faint hearted,     later.  now please join   welcoming  lovely ladies   beauxbatons academy  magic   headmistress madam maxime.  "," hogwarts   choosen  host  legendary event  trwizard tournament now        know  trwizard tournament brings together three schools   series  magical contests   school  single contestant  selected  compete now let   clear  choosen  stand alone  trust    say  contests     faint hearted     later  now please join   welcoming  lovely ladies   beauxbatons academy  magic   headmistress madam maxime  "," hogwarts   choosen  host  legendary event  trwizard tournament now        know  trwizard tournament brings together three schools   series  magical contests   school  single contestant  selected  compete now let   clear  choosen  stand alone  trust    say  contests     faint hearted     later  now please join   welcoming  lovely ladies   beauxbatons academy  magic   headmistress madam maxime  "," hogwarts choosen host legendary event trwizard tournament now know trwizard tournament brings together three schools series magical contests school single contestant selected compete now let clear choosen stand alone trust say contests faint hearted later now please join welcoming lovely ladies beauxbatons academy magic headmistress madam maxime ","hogwarts choosen host legendary event trwizard tournament now know trwizard tournament bring together three school series magical contest school single contestant select compete now let clear choosen stand alone trust say contest faint hearted late now please join welcome lovely lady beauxbatons academy magic headmistress madam maxime"
"115","STUDENT","RON","Blimey, that's one big woman.  ","blimey, that's one big woman.  ","blimey, that's one big woman.  ","blimey,  one big woman.  ","blimey  one big woman  ","blimey  one big woman  ","blimey one big woman ","blimey one big woman"
"116","DUMBLEDORE","STUDENTS","And now our friends from the north, please greet the proud sons of Durmstrang and the high master Igor Karkaroff.  ","and now our friends from the north, please greet the proud sons of durmstrang and the high master igor karkaroff.  ","and now our friends from the north, please greet the proud sons of durmstrang and the high master igor karkaroff.  "," now  friends   north, please greet  proud sons  durmstrang   high master igor karkaroff.  "," now  friends   north please greet  proud sons  durmstrang   high master igor karkaroff  "," now  friends   north please greet  proud sons  durmstrang   high master igor karkaroff  "," now friends north please greet proud sons durmstrang high master igor karkaroff ","now friend north please greet proud son durmstrang high master igor karkaroff"
"117","RON","RON","Blimey it's him, Viktor Krum!  ","blimey it's him, viktor krum!  ","blimey it's him, viktor krum!  ","blimey  , viktor krum!  ","blimey   viktor krum  ","blimey   viktor krum  ","blimey viktor krum ","blimey viktor krum"
"118","IGOR","DUMBLEDORE","Albus!  ","albus!  ","albus!  ","albus!  ","albus  ","albus  ","albus ","albus"
"119","DUMBLEDORE","IGOR","Igor.  ","igor.  ","igor.  ","igor.  ","igor  ","igor  ","igor ","igor"
"120","MADAME MAXIME","DUMBLEDORE","Professor Dumbledore, my horses have travelled a long way. They will need attending to.","professor dumbledore, my horses have travelled a long way. they will need attending to.","professor dumbledore, my horses have travelled a long way. they will need attending to.","professor dumbledore,  horses  travelled  long way.  will need attending .","professor dumbledore  horses  travelled  long way  will need attending ","professor dumbledore  horses  travelled  long way  will need attending ","professor dumbledore horses travelled long way will need attending ","professor dumbledore horse travel long way will need attend"
"121","DUMBLEDORE","MADAME MAXIME","Not to worry Madame Maxime, our gamekeeper Hagrid's more than capable of seeing to them.","not to worry madame maxime, our gamekeeper hagrid's more than capable of seeing to them.","not to worry madame maxime, our gamekeeper hagrid's more than capable of seeing to them.","  worry madame maxime,  gamekeeper hagrid's   capable  seeing  .","  worry madame maxime  gamekeeper hagrids   capable  seeing  ","  worry madame maxime  gamekeeper hagrids   capable  seeing  "," worry madame maxime gamekeeper hagrids capable seeing ","worry madame maxime gamekeeper hagrids capable see"
"122","MADAME MAXIME","DUMBLEDORE","But you know Monsieur Hagrid, they drink only single malt whiskey. ","but you know monsieur hagrid, they drink only single malt whiskey. ","but you know monsieur hagrid, they drink only single malt whiskey. ","  know monsieur hagrid,  drink  single malt whiskey. ","  know monsieur hagrid  drink  single malt whiskey ","  know monsieur hagrid  drink  single malt whiskey "," know monsieur hagrid drink single malt whiskey ","know monsieur hagrid drink single malt whiskey"
"123","MAN","HAGRID","You idiot!  ","you idiot!  ","you idiot!  "," idiot!  "," idiot  "," idiot  "," idiot ","idiot"
"124","DUMBLEDORE","STUDENTS","Your attention please! I would like to say a few words. Eternal glory, that is what awaits the student who wins the tri-wizard tournament. But to do this that student must survive three tasks. Three extremely dangerous tasks.  ","your attention please! i would like to say a few words. eternal glory, that is what awaits the student who wins the tri-wizard tournament. but to do this that student must survive three tasks. three extremely dangerous tasks.  ","your attention please! i would like to say a few words. eternal glory, that is what awaits the student who wins the tri-wizard tournament. but to do this that student must survive three tasks. three extremely dangerous tasks.  "," attention please!   like  say   words. eternal glory,    awaits  student  wins  tr-wizard tournament.      student must survive three tasks. three extremely dangerous tasks.  "," attention please   like  say   words eternal glory    awaits  student  wins  trwizard tournament      student must survive three tasks three extremely dangerous tasks  "," attention please   like  say   words eternal glory    awaits  student  wins  trwizard tournament      student must survive three tasks three extremely dangerous tasks  "," attention please like say words eternal glory awaits student wins trwizard tournament student must survive three tasks three extremely dangerous tasks ","attention please like say word eternal glory await student win trwizard tournament student must survive three task three extremely dangerous task"
"125","FRED","DUMBLEDORE","Wicked.  ","wicked.  ","wicked.  ","wicked.  ","wicked  ","wicked  ","wicked ","wicked"
"126","DUMBLEDORE","STUDENTS","For this reason the ministry has seen fit to impose a new rule. To explain all this we have the head of the department of international magic cooperation Mister Bartimus Crouch.  ","for this reason the ministry has seen fit to impose a new rule. to explain all this we have the head of the department of international magic cooperation mister bartimus crouch.  ","for this reason the ministry has seen fit to impose a new rule. to explain all this we have the head of the department of international magic cooperation mister bartimus crouch.  ","  reason  ministry  seen fit  impose  new rule.  explain      head   department  international magic cooperation mister bartimus crouch.  ","  reason  ministry  seen fit  impose  new rule  explain      head   department  international magic cooperation mister bartimus crouch  ","  reason  ministry  seen fit  impose  new rule  explain      head   department  international magic cooperation mister bartimus crouch  "," reason ministry seen fit impose new rule explain head department international magic cooperation mister bartimus crouch ","reason ministry see fit impose new rule explain head department international magic cooperation mister bartimus crouch"
"127","RON","HERMIONE","Bloody hell, it's Mad-Eye Moody.  ","bloody hell, it's mad-eye moody.  ","bloody hell, it's mad-eye moody.  ","bloody hell,  mad-eye moody.  ","bloody hell  madeye moody  ","bloody hell  madeye moody  ","bloody hell madeye moody ","bloody hell madeye moody"
"128","HERMIONE","RON","Alastor Moody? The aura.  ","alastor moody? the aura.  ","alastor moody? the aura.  ","alastor moody?  aura.  ","alastor moody  aura  ","alastor moody  aura  ","alastor moody aura ","alastor moody aura"
"129","RON","HERMIONE","He was a catcher. Half the cells in Azkaban are full thanks to him. He's supposed to be mad as a hatter though these days.  ","he was a catcher. half the cells in azkaban are full thanks to him. he's supposed to be mad as a hatter though these days.  ","he was a catcher. half the cells in azkaban are full thanks to him. he's supposed to be mad as a hatter though these days.  ","   catcher. half  cells  azkaban  full thanks  .  supposed   mad   hatter though  days.  ","   catcher half  cells  azkaban  full thanks    supposed   mad   hatter though  days  ","   catcher half  cells  azkaban  full thanks    supposed   mad   hatter though  days  "," catcher half cells azkaban full thanks supposed mad hatter though days ","catcher half cell azkaban full thank suppose mad hatter though day"
"130","DUMBLEDORE","ALASTOR ","My dear old friend, thanks for coming.  ","my dear old friend, thanks for coming.  ","my dear old friend, thanks for coming.  "," dear old friend, thanks  coming.  "," dear old friend thanks  coming  "," dear old friend thanks  coming  "," dear old friend thanks coming ","dear old friend thank come"
"131","ALASTOR ","DUMBLEDORE","That stupid roof.  ","that stupid roof.  ","that stupid roof.  "," stupid roof.  "," stupid roof  "," stupid roof  "," stupid roof ","stupid roof"
"132","PUPIL","HARRY","What's that he's drinking do you suppose?  ","what's that he's drinking do you suppose?  ","what's that he's drinking do you suppose?  ","   drinking   suppose?  ","   drinking   suppose  ","   drinking   suppose  "," drinking suppose ","drink suppose"
"133","HARRY","PUPIL","I don't know but I don't think it's Pumpkin Juice. ","i don't know but i don't think it's pumpkin juice. ","i don't know but i don't think it's pumpkin juice. ","  know    think  pumpkin juice. ","  know    think  pumpkin juice ","  know    think  pumpkin juice "," know think pumpkin juice ","know think pumpkin juice"
"134","BARTY","GEORGE","After much deliberation the ministry has concluded that for their own safety no student under the age of seventeen shall be allowed to put forth their name for the tri-wizard tournament. This decision is final.  ","after much deliberation the ministry has concluded that for their own safety no student under the age of seventeen shall be allowed to put forth their name for the tri-wizard tournament. this decision is final.  ","after much deliberation the ministry has concluded that for their own safety no student under the age of seventeen shall be allowed to put forth their name for the tri-wizard tournament. this decision is final.  "," much deliberation  ministry  concluded     safety  student   age  seventeen shall  allowed  put forth  name   tr-wizard tournament.  decision  final.  "," much deliberation  ministry  concluded     safety  student   age  seventeen shall  allowed  put forth  name   trwizard tournament  decision  final  "," much deliberation  ministry  concluded     safety  student   age  seventeen shall  allowed  put forth  name   trwizard tournament  decision  final  "," much deliberation ministry concluded safety student age seventeen shall allowed put forth name trwizard tournament decision final ","much deliberation ministry conclude safety student age seventeen shall allow put forth name trwizard tournament decision final"
